Category,English,French,Italian,Russian,Russian (translit.),Greek,Greek (translit.)
Greetings,good evening,bonsoir,buonasera,добрый вечер,dóbryy véchеr,καλησπέρα,kalispéra
Greetings,good night,bonne nuit,buonanotte,спокойной ночи,spokóynoy nóchi,καληνύχτα,kaliníchta
Greetings,how are you,comment ça va,come stai,как дела,kak delá,τι κάνεις,ti kánis
Greetings,nice to meet you,enchanté,piacere,приятно познакомиться,priyátno poznakómit'sya,χάρηκα,chárika
Greetings,welcome,bienvenue,benvenuto,добро пожаловать,dobró pozhálovat',καλώς ήρθες,kalós írthes
Questions,what,quoi,cosa,что,chto,τι,ti
Questions,who,qui,chi,кто,kto,ποιος,pios
Questions,where,où,dove,где,gde,πού,poú
Questions,when,quand,quando,когда,kogdá,πότε,póte
Questions,why,pourquoi,perché,почему,pochemú,γιατί,yatí
Questions,how,comment,come,как,kak,πώς,pos
Questions,how much/many,combien,quanto,сколько,skól'ko,πόσο,póso
Questions,which,quel,quale,какой,kakóy,ποιος,pios
Questions,whose,à qui,di chi,чей,chey,τίνος,tínos
Questions,whom,qui,chi,кого,kogó,ποιον,pion
Pronouns,I,je,io,я,ya,εγώ,egó
Pronouns,you (sg),tu,tu,ты,ty,εσύ,esí
Pronouns,he,il,lui,он,on,αυτός,aftós
Pronouns,she,elle,lei,она,oná,αυτή,aftí
Pronouns,we,nous,noi,мы,my,εμείς,emís
Pronouns,you (pl),vous,voi,вы,vy,εσείς,esís
Pronouns,they,ils,loro,они,oní,αυτοί,aftí
Pronouns,this,ceci,questo,это,éto,αυτό,aftó
Pronouns,that,cela,quello,то,to,εκείνο,ekíno
Pronouns,my,mon,mio,мой,moy,δικό μου,dikó mou
Pronouns,your,ton,tuo,твой,tvoy,δικό σου,dikó sou
Pronouns,our,notre,nostro,наш,nash,δικό μας,dikó mas
Time,today,aujourd'hui,oggi,сегодня,segódnya,σήμερα,símera
Time,tomorrow,demain,domani,завтра,závtra,αύριο,ávrio
Time,yesterday,hier,ieri,вчера,vcherá,χτες,chtes
Time,now,maintenant,adesso,сейчас,seychás,τώρα,tóra
Time,later,plus tard,dopo,позже,pózzhe,αργότερα,argótera
Time,morning,matin,mattina,утро,útro,πρωί,proí
Time,afternoon,après-midi,pomeriggio,день,den',απόγευμα,apógevma
Time,evening,soir,sera,вечер,véchеr,βράδυ,vrádi
Time,night,nuit,notte,ночь,noch',νύχτα,níchta
Time,week,semaine,settimana,неделя,nedélya,εβδομάδα,evdomáda
Time,month,mois,mese,месяц,mésyats,μήνας,mínas
Time,year,année,anno,год,god,χρόνος,chrónos
Time,hour,heure,ora,час,chas,ώρα,óra
Time,minute,minute,minuto,минута,minúta,λεπτό,leptó
Time,day,jour,giorno,день,den',μέρα,méra
Verbs,to be,être,essere,быть,byt',είμαι,íme
Verbs,to have,avoir,avere,иметь,imét',έχω,écho
Verbs,to do/make,faire,fare,делать,délat',κάνω,káno
Verbs,to go,aller,andare,идти,idtí,πηγαίνω,piyéno
Verbs,to come,venir,venire,приходить,prikhodít',έρχομαι,érchome
Verbs,to want,vouloir,volere,хотеть,khotét',θέλω,thélo
Verbs,to be able to/can,pouvoir,potere,мочь,moch',μπορώ,boró
Verbs,to know,savoir,sapere,знать,znat',ξέρω,xéro
Verbs,to see,voir,vedere,видеть,vídet',βλέπω,vlépo
Verbs,to say/tell,dire,dire,говорить,govorít',λέω,léo
Verbs,to speak,parler,parlare,говорить,govorít',μιλάω,miláo
Verbs,to eat,manger,mangiare,есть,yest',τρώω,tróo
Verbs,to drink,boire,bere,пить,pit',πίνω,píno
Verbs,to sleep,dormir,dormire,спать,spat',κοιμάμαι,kimáme
Verbs,to live,habiter,vivere,жить,zhit',ζω,zo
Verbs,to work,travailler,lavorare,работать,rabótat',δουλεύω,doulévo
Verbs,to study,étudier,studiare,учиться,uchít'sya,σπουδάζω,spoudázo
Verbs,to read,lire,leggere,читать,chitát',διαβάζω,diavázo
Verbs,to write,écrire,scrivere,писать,pisát',γράφω,gráfo
Verbs,to listen,écouter,ascoltare,слушать,slúshat',ακούω,akoúo
Verbs,to look/watch,regarder,guardare,смотреть,smotrét',κοιτάζω,kitázo
Verbs,to understand,comprendre,capire,понимать,ponimát',καταλαβαίνω,katalavéno
Verbs,to think,penser,pensare,думать,dúmat',σκέφτομαι,skéftome
Verbs,to love,aimer,amare,любить,lyubít',αγαπώ,agapó
Verbs,to like,aimer bien,piacere,нравиться,nrávit'sya,μου αρέσει,mou arési
Verbs,to need,avoir besoin de,avere bisogno di,нуждаться,nuzhdát'sya,χρειάζομαι,chriázome
Verbs,to buy,acheter,comprare,покупать,pokupát',αγοράζω,agorázo
Verbs,to sell,vendre,vendere,продавать,prodavát',πουλάω,pouláo
Verbs,to pay,payer,pagare,платить,platít',πληρώνω,pliróno
Verbs,to open,ouvrir,aprire,открывать,otkryvát',ανοίγω,anígo
Verbs,to close,fermer,chiudere,закрывать,zakryvát',κλείνω,klíno
Verbs,to give,donner,dare,давать,davát',δίνω,díno
Verbs,to take,prendre,prendere,брать,brat',παίρνω,pérno
Verbs,to walk,marcher,camminare,идти пешком,idtí peshkóm,περπατώ,perpató
Verbs,to run,courir,correre,бежать,bezhát',τρέχω,trécho
Verbs,to stop,arrêter,fermare,останавливаться,ostanávlivat'sya,σταματάω,stamatáo
Verbs,to start/begin,commencer,iniziare,начинать,nachinát',αρχίζω,archízo
Verbs,to finish,finir,finire,заканчивать,zakánchivat',τελειώνω,telióno
Verbs,to play,jouer,giocare,играть,igrát',παίζω,pézo
Verbs,to sing,chanter,cantare,петь,pet',τραγουδώ,tragoudó
Verbs,to dance,danser,ballare,танцевать,tantsevát',χορεύω,chorévo
Verbs,to wait,attendre,aspettare,ждать,zhdat',περιμένω,periméno
Verbs,to look for,chercher,cercare,искать,iskát',ψάχνω,psáchno
Verbs,to find,trouver,trovare,находить,nakhodít',βρίσκω,vrísko
Verbs,to ask,demander,chiedere,спрашивать,sprášivat',ρωτάω,rotáo
Verbs,to answer,répondre,rispondere,отвечать,otvechát',απαντώ,apantó
Verbs,to help,aider,aiutare,помогать,pomogát',βοηθάω,voitháo
Verbs,to remember,se souvenir,ricordare,помнить,pómnit',θυμάμαι,thymáme
Verbs,to forget,oublier,dimenticare,забывать,zabyvát',ξεχνάω,xechnáo
Verbs,to feel,sentir,sentire,чувствовать,chúvstvovat',νιώθω,niótho
Verbs,to arrive,arriver,arrivare,приезжать,priyezzhát',φτάνω,ftáno
Verbs,to leave,partir,partire,уезжать,uyezzhát',φεύγω,févgo
Verbs,to enter,entrer,entrare,входить,vkhodít',μπαίνω,béno
Verbs,to exit,sortir,uscire,выходить,vykhodít',βγαίνω,vyéno
Verbs,to stand,se tenir debout,stare in piedi,стоять,stoyát',στέκομαι,stékome
Verbs,to sit,s'asseoir,sedersi,сидеть,sidét',κάθομαι,káthome
Verbs,to fall,tomber,cadere,падать,pádat',πέφτω,péfto
Verbs,to bring,apporter,portare,приносить,prinosít',φέρνω,férno
Verbs,to carry,porter,portare,нести,nestí,κουβαλάω,kouvaláo
Verbs,to cook,cuisiner,cucinare,готовить,gotóvit',μαγειρεύω,mayirévo
Verbs,to clean,nettoyer,pulire,убирать,ubirát',καθαρίζω,katharízo
Verbs,to wash,laver,lavare,мыть,myt',πλένω,pléno
Verbs,to drive,conduire,guidare,водить,vodít',οδηγώ,odigó
Verbs,to fly,voler,volare,летать,letát',πετάω,petáo
Verbs,to swim,nager,nuotare,плавать,plávat',κολυμπάω,kolimbáo
Verbs,to laugh,rire,ridere,смеяться,smeyát'sya,γελάω,geláo
Verbs,to cry,pleurer,piangere,плакать,plákat',κλαίω,kléo
Verbs,to exist,exister,esistere,существовать,sushchestvovát',υπάρχω,ypárcho
Verbs,to change,changer,cambiare,менять,menyát',αλλάζω,allázo
Verbs,to learn,apprendre,imparare,учить,uchít',μαθαίνω,mathéno
Verbs,to teach,enseigner,insegnare,учить,uchít',διδάσκω,didásko
Adjectives,big,grand,grande,большой,bol'shóy,μεγάλος,megálos
Adjectives,small,petit,piccolo,маленький,málen'kiy,μικρός,mikrós
Adjectives,good,bon,buono,хороший,khoróshiy,καλός,kalós
Adjectives,bad,mauvais,cattivo,плохой,plokhóy,κακός,kakós
Adjectives,new,nouveau,nuovo,новый,nóvyy,καινούριος,kenoúrios
Adjectives,old,vieux,vecchio,старый,stáryy,παλιός,paliós
Adjectives,young,jeune,giovane,молодой,molodóy,νέος,néos
Adjectives,happy,heureux,felice,счастливый,schastlívyy,χαρούμενος,charoúmenos
Adjectives,sad,triste,triste,грустный,grústnyy,λυπημένος,lypiménos
Adjectives,beautiful,beau,bello,красивый,krasívyy,όμορφος,ómorfos
Adjectives,ugly,laid,brutto,некрасивый,nekrasívyy,άσχημος,áschimos
Adjectives,tall,grand,alto,высокий,vysókiy,ψηλός,psilós
Adjectives,short,court,corto,низкий,nízkiy,κοντός,kondós
Adjectives,long,long,lungo,длинный,dlínnyy,μακρύς,makrís
Adjectives,fast,rapide,veloce,быстрый,bístryy,γρήγορος,grígoros
Adjectives,slow,lent,lento,медленный,médlennyy,αργός,argós
Adjectives,hot,chaud,caldo,горячий,goryáchiy,ζεστός,zestós
Adjectives,cold,froid,freddo,холодный,khólodnyy,κρύος,kríos
Adjectives,easy,facile,facile,лёгкий,lyógkiy,εύκολος,éfkolos
Adjectives,difficult,difficile,difficile,трудный,trúdnyy,δύσκολος,dískolos
Adjectives,strong,fort,forte,сильный,síl'nyy,δυνατός,dynatós
Adjectives,weak,faible,debole,слабый,slábyy,αδύναμος,adínamos
Adjectives,rich,riche,ricco,богатый,bogátyy,πλούσιος,ploúsios
Adjectives,poor,pauvre,povero,бедный,bédnyy,φτωχός,ftochós
Adjectives,clean,propre,pulito,чистый,chístyy,καθαρός,katharós
Adjectives,dirty,sale,sporco,грязный,gryáznyy,βρώμικος,vrómikos
Adjectives,full,plein,pieno,полный,pólnyy,γεμάτος,gemátos
Adjectives,empty,vide,vuoto,пустой,pustóy,άδειος,ádios
Adjectives,open,ouvert,aperto,открытый,otkrýtyy,ανοιχτός,anichtós
Adjectives,closed,fermé,chiuso,закрытый,zakrýtyy,κλειστός,klistós
Adjectives,early,tôt,presto,ранний,ránniy,νωρίς,norís
Adjectives,late,tard,tardi,поздний,pózdniy,αργά,argá
Adjectives,near,proche,vicino,близкий,blízkiy,κοντά,kondá
Adjectives,far,loin,lontano,далёкий,dalyókiy,μακριά,makriá
Adjectives,right,droit,destro,правый,právyy,δεξιά,dexiá
Adjectives,left,gauche,sinistro,левый,lévyy,αριστερά,aristerá
Adjectives,heavy,lourd,pesante,тяжёлый,tyazhyólyy,βαρύς,varís
Adjectives,light (weight),léger,leggero,лёгкий,lyógkiy,ελαφρύς,elafrís
Adjectives,same,même,stesso,тот же,tot zhe,ίδιος,ídios
Adjectives,different,différent,diverso,другой,drugóy,διαφορετικός,diaforetikós
Adjectives,important,important,importante,важный,vázhnyy,σημαντικός,simandikós
Adjectives,possible,possible,possibile,возможный,vozmózhnyy,δυνατός,dynatós
Adjectives,hard,dur,duro,трудный,trúdnyy,σκληρός,sklirós
Adjectives,soft,doux,morbido,мягкий,myágkiy,μαλακός,malakós
Adjectives,sweet,sucré,dolce,сладкий,sládkiy,γλυκός,glikós
Adjectives,bitter,amer,amaro,горький,gór'kiy,πικρός,pikrós
Adjectives,delicious,délicieux,delizioso,вкусный,vkúsnyy,νόστιμος,nóstimos
Adjectives,hungry,affamé,affamato,голодный,golódnyy,πεινασμένος,pinasménos
Adjectives,thirsty,assoiffé,assetato,жаждущий,zházhdushchiy,διψασμένος,dipsasménos
Adjectives,tired,fatigué,stanco,усталый,ustályy,κουρασμένος,kourasménos
Adjectives,sick,malade,malato,больной,bol'nóy,άρρωστος,árostos
Food,bread,pain,pane,хлеб,khleb,ψωμί,psomí
Food,water,eau,acqua,вода,vodá,νερό,neró
Food,milk,lait,latte,молоко,molokó,γάλα,gála
Food,coffee,café,caffè,кофе,kófe,καφές,kafés
Food,tea,thé,tè,чай,chay,τσάι,tsái
Food,wine,vin,vino,вино,vinó,κρασί,krasí
Food,beer,bière,birra,пиво,pívo,μπύρα,bíra
Food,juice,jus,succo,сок,sok,χυμός,chymós
Food,egg,œuf,uovo,яйцо,yaytsó,αβγό,avgó
Food,cheese,fromage,formaggio,сыр,syr,τυρί,tyrí
Food,butter,beurre,burro,масло,máslo,βούτυρο,voútyro
Food,meat,viande,carne,мясо,myáso,κρέας,kréas
Food,chicken,poulet,pollo,курица,kúritsa,κοτόπουλο,kotópoulo
Food,fish,poisson,pesce,рыба,ríba,ψάρι,psári
Food,rice,riz,riso,рис,ris,ρύζι,rízi
Food,pasta,pâtes,pasta,паста,pásta,ζυμαρικά,zimariká
Food,soup,soupe,zuppa,суп,sup,σούπα,soúpa
Food,salad,salade,insalata,салат,salát,σαλάτα,saláta
Food,fruit,fruit,frutta,фрукт,frukt,φρούτο,froúto
Food,apple,pomme,mela,яблоко,yábloko,μήλο,mílo
Food,banana,banane,banana,банан,banán,μπανάνα,banána
Food,orange (fruit),orange,arancia,апельсин,apel'sín,πορτοκάλι,portokáli
Food,tomato,tomate,pomodoro,помидор,pomidór,ντομάτα,domáta
Food,potato,pomme de terre,patata,картофель,kartófel',πατάτα,patáta
Food,vegetable,légume,verdura,овощ,óvoshch,λαχανικό,lachanikó
Food,salt,sel,sale,соль,sol',αλάτι,aláti
Food,sugar,sucre,zucchero,сахар,sákhar,ζάχαρη,zácharí
Food,sandwich,sandwich,panino,бутерброд,buterbród,σάντουιτς,sándouits
Food,cake,gâteau,torta,торт,tort,τούρτα,toúrta
Food,ice cream,glace,gelato,мороженое,morózhenoye,παγωτό,pagotó
Food,chocolate,chocolat,cioccolato,шоколад,shokolád,σοκολάτα,sokoláta
Food,breakfast,petit-déjeuner,colazione,завтрак,závtrak,πρωινό,proinó
Food,lunch,déjeuner,pranzo,обед,obéd,μεσημεριανό,mesimerianó
Food,dinner,dîner,cena,ужин,úzhin,βραδινό,vradinó
Food,plate,assiette,piatto,тарелка,tarélka,πιάτο,piáto
Food,glass (drinking),verre,bicchiere,стакан,stakán,ποτήρι,potíri
Food,fork,fourchette,forchetta,вилка,vílka,πιρούνι,piroúni
Food,knife,couteau,coltello,нож,nozh,μαχαίρι,machéri
Food,spoon,cuillère,cucchiaio,ложка,lózhka,κουτάλι,koutáli
Food,napkin,serviette,tovagliolo,салфетка,salfétka,χαρτοπετσέτα,chartopetséta
Food,restaurant,restaurant,ristorante,ресторан,restorán,εστιατόριο,estiatório
Food,menu,menu,menu,меню,menyú,μενού,menoú
Food,onion,oignon,cipolla,лук,luk,κρεμμύδι,kremídi
Food,garlic,ail,aglio,чеснок,chesnók,σκόρδο,skórdo
Food,lemon,citron,limone,лимон,limón,λεμόνι,lemóni
Food,honey,miel,miele,мёд,myod,μέλι,méli
Food,yogurt,yaourt,yogurt,йогурт,yógurt,γιαούρτι,yaoúrti
Food,pepper,poivre,pepe,перец,pérets,πιπέρι,pipéri
Food,oil,huile,olio,масло,máslo,λάδι,ládi
Body,head,tête,testa,голова,golová,κεφάλι,kefáli
Body,face,visage,viso,лицо,litsó,πρόσωπο,prósopo
Body,eye,œil,occhio,глаз,glaz,μάτι,máti
Body,ear,oreille,orecchio,ухо,ukho,αυτί,aftí
Body,nose,nez,naso,нос,nos,μύτη,míti
Body,mouth,bouche,bocca,рот,rot,στόμα,stóma
Body,hand,main,mano,рука,ruká,χέρι,chéri
Body,arm,bras,braccio,рука,ruká,μπράτσο,brátso
Body,leg,jambe,gamba,нога,nogá,πόδι,pódi
Body,foot,pied,piede,ступня,stupnyá,πόδι,pódi
Body,finger,doigt,dito,палец,pálets,δάχτυλο,dáchtylo
Body,hair,cheveux,capelli,волосы,vólosy,μαλλιά,maliá
Body,tooth,dent,dente,зуб,zub,δόντι,dónti
Body,heart,cœur,cuore,сердце,sértse,καρδιά,kardiá
Body,back,dos,schiena,спина,spiná,πλάτη,pláti
Body,stomach,ventre,pancia,живот,zhivót,στομάχι,stomáchi
Body,neck,cou,collo,шея,shéya,λαιμός,lemós
Body,shoulder,épaule,spalla,плечо,plechó,ώμος,ómos
Body,knee,genou,ginocchio,колено,koléno,γόνατο,gónato
Body,skin,peau,pelle,кожа,kózha,δέρμα,dérma
Clothing,clothes,vêtements,vestiti,одежда,odézhda,ρούχα,roúcha
Clothing,shirt,chemise,camicia,рубашка,rubáshka,πουκάμισο,poukámiso
Clothing,trousers/pants,pantalon,pantaloni,брюки,bryúki,παντελόνι,pandelóni
Clothing,dress,robe,vestito,платье,plát'ye,φόρεμα,fórema
Clothing,skirt,jupe,gonna,юбка,yúbka,φούστα,foústa
Clothing,shoes,chaussures,scarpe,туфли,túfli,παπούτσια,papoútsia
Clothing,socks,chaussettes,calzini,носки,noskí,κάλτσες,káltses
Clothing,jacket,veste,giacca,куртка,kúrtka,μπουφάν,boufán
Clothing,coat,manteau,cappotto,пальто,pal'tó,παλτό,paltó
Clothing,hat,chapeau,cappello,шапка,shápka,καπέλο,kapélo
Clothing,t-shirt,t-shirt,maglietta,футболка,futbólka,μπλούζα,blúza
Clothing,sweater,pull,maglione,свитер,svíter,πουλόβερ,poulóver
Clothing,scarf,écharpe,sciarpa,шарф,sharf,κασκόλ,kaskól
Clothing,gloves,gants,guanti,перчатки,perchátki,γάντια,gándia
Clothing,belt,ceinture,cintura,ремень,remén',ζώνη,zóni
House,house,maison,casa,дом,dom,σπίτι,spíti
House,apartment,appartement,appartamento,квартира,kvartíra,διαμέρισμα,diamérisma
House,room,pièce,stanza,комната,kómnata,δωμάτιο,domátio
House,kitchen,cuisine,cucina,кухня,kúkhnya,κουζίνα,kouzína
House,bathroom,salle de bains,bagno,ванная,vánnaya,μπάνιο,bánio
House,bedroom,chambre,camera da letto,спальня,spál'nya,υπνοδωμάτιο,ypnodomátio
House,living room,salon,soggiorno,гостиная,gostínaya,σαλόνι,saylóni
House,door,porte,porta,дверь,dver',πόρτα,pórta
House,window,fenêtre,finestra,окно,oknó,παράθυρο,paráthyro
House,table,table,tavolo,стол,stol,τραπέζι,trapézi
House,chair,chaise,sedia,стул,stul,καρέκλα,karékla
House,bed,lit,letto,кровать,krovát',κρεβάτι,kreváti
House,sofa,canapé,divano,диван,divan,καναπές,kanapés
House,wall,mur,muro,стена,stená,τοίχος,tíchos
House,floor,sol,pavimento,пол,pol,πάτωμα,pátoma
House,roof,toit,tetto,крыша,krísha,στέγη,stégi
House,key,clé,chiave,ключ,klyuch,κλειδί,klidí
House,lamp,lampe,lampada,лампа,lámpa,λάμπα,lámpa
House,mirror,miroir,specchio,зеркало,zérkalo,καθρέφτης,kathréftis
House,garden,jardin,giardino,сад,sad,κήπος,kípos
House,stairs,escalier,scale,лестница,léstnitsa,σκάλα,skála
House,television,télévision,televisione,телевизор,televízor,τηλεόραση,tileórasi
House,telephone,téléphone,telefono,телефон,telefón,τηλέφωνο,tiléfono
House,computer,ordinateur,computer,компьютер,komp'yúter,υπολογιστής,ypologistís
House,clock,horloge,orologio,часы,chasý,ρολόι,rolói
Animals,dog,chien,cane,собака,sobáka,σκύλος,skílos
Animals,cat,chat,gatto,кошка,kóshka,γάτα,gáta
Animals,bird,oiseau,uccello,птица,ptítsa,πουλί,poulí
Animals,horse,cheval,cavallo,лошадь,lóshad',άλογο,álogo
Animals,cow,vache,mucca,корова,koróva,αγελάδα,ageláda
Animals,pig,cochon,maiale,свинья,svin'yá,γουρούνι,gouroúni
Animals,sheep,mouton,pecora,овца,ovtsá,πρόβατο,próvato
Animals,fish (animal),poisson,pesce,рыба,ríba,ψάρι,psári
Animals,mouse,souris,topo,мышь,mysh,ποντίκι,pondíki
Animals,rabbit,lapin,coniglio,кролик,królik,κουνέλι,kounéli
Animals,lion,lion,leone,лев,lev,λιοντάρι,liondári
Animals,elephant,éléphant,elefante,слон,slon,ελέφαντας,eléfantas
Animals,bear,ours,orso,медведь,medvéd',αρκούδα,arkoúda
Animals,wolf,loup,lupo,волк,volk,λύκος,líkos
Animals,fox,renard,volpe,лиса,lisá,αλεπού,alepoú
Animals,monkey,singe,scimmia,обезьяна,obez'yána,μαϊμού,maimoú
Animals,duck,canard,anatra,утка,útka,πάπια,pápia
Animals,chicken (animal),poule,gallina,курица,kúritsa,κότα,kóta
Animals,snake,serpent,serpente,змея,zmeyá,φίδι,fídi
Animals,butterfly,papillon,farfalla,бабочка,bábochka,πεταλούδα,petaloúda
Nature,sun,soleil,sole,солнце,sóntse,ήλιος,ílios
Nature,moon,lune,luna,луна,luná,φεγγάρι,feggári
Nature,star,étoile,stella,звезда,zvezdá,αστέρι,astéri
Nature,sky,ciel,cielo,небо,nébo,ουρανός,ouranós
Nature,rain,pluie,pioggia,дождь,dozhd',βροχή,vrochí
Nature,snow,neige,neve,снег,sneg,χιόνι,chióni
Nature,wind,vent,vento,ветер,véter,άνεμος,ánemos
